"nombre","serie","run","tipoentidad","fecha_limite","fecha_pago","moneda","tipo_evento","monto_por_cuota_boletin","monto_total","cuotas_fecha_limite","fecha_cuotas_usada","div_por_cuota_calculado","monto_final","origen","motivo"
"Alza Deuda Privada IV Fondo de Inversión","A",NA,NA,2025-05-02,2025-05-08,"$","Dividendo",16480.3063,NA,NA,NA,NA,16480.3063,"boletin",NA
"Alza Deuda Privada IV Fondo de Inversión","F",NA,NA,2025-05-02,2025-05-08,"$","Dividendo",16612.9213,NA,NA,NA,NA,16612.9213,"boletin",NA
"Alza Deuda Privada IV Fondo de Inversión","I",NA,NA,2025-05-02,2025-05-08,"$","Dividendo",16619.212,NA,NA,NA,NA,16619.212,"boletin",NA
"Alza Deuda Privada IV Fondo de Inversión","A",NA,NA,2025-07-23,2025-07-29,"$","Dividendo",8403.5806,NA,NA,NA,NA,8403.5806,"boletin",NA
"Alza Deuda Privada IV Fondo de Inversión","F",NA,NA,2025-07-23,2025-07-29,"$","Dividendo",8500.3422,NA,NA,NA,NA,8500.3422,"boletin",NA
"Alza Deuda Privada IV Fondo de Inversión","I",NA,NA,2025-07-23,2025-07-29,"$","Dividendo",8504.3996,NA,NA,NA,NA,8504.3996,"boletin",NA
"Alza Deuda Privada IV Fondo de Inversión","A",NA,NA,2025-09-26,2025-10-02,"$","Dividendo",1307.1413,NA,NA,NA,NA,1307.1413,"boletin",NA
"Alza Deuda Privada IV Fondo de Inversión","F",NA,NA,2025-09-26,2025-10-02,"$","Dividendo",1349.7597,NA,NA,NA,NA,1349.7597,"boletin",NA
"Alza Deuda Privada IV Fondo de Inversión","I",NA,NA,2025-09-26,2025-10-02,"$","Dividendo",1350.604,NA,NA,NA,NA,1350.604,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","A",NA,NA,2026-02-27,2026-03-05,"$","Dividendo",624.7692,NA,NA,NA,NA,624.7692,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","I",NA,NA,2026-02-27,2026-03-05,"$","Dividendo",625.003,NA,NA,NA,NA,625.003,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","A",NA,NA,2026-04-27,2026-05-04,"$","Dividendo",1841.3478,NA,NA,NA,NA,1841.3478,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","I",NA,NA,2026-04-27,2026-05-04,"$","Dividendo",1842.5832,NA,NA,NA,NA,1842.5832,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","A",NA,NA,2026-05-14,2026-05-20,"$","Dividendo",4743.733601,NA,NA,NA,NA,4743.733601,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","I",NA,NA,2026-05-14,2026-05-20,"$","Dividendo",4747.713978,NA,NA,NA,NA,4747.713978,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","A",NA,NA,2026-06-05,2026-06-11,"$","Dividendo",1672.684596,NA,NA,NA,NA,1672.684596,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","I",NA,NA,2026-06-05,2026-06-11,"$","Dividendo",1674.088114,NA,NA,NA,NA,1674.088114,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","A",NA,NA,2026-06-19,2026-06-25,"$","Dividendo",2581.475448,NA,NA,NA,NA,2581.475448,"boletin",NA
"Alza Deuda Privada V Fondo de Inversión","I",NA,NA,2026-06-19,2026-06-25,"$","Dividendo",2584.13183,NA,NA,NA,NA,2584.13183,"boletin",NA
"Alza Deuda Privada VI Fondo de Inversión","A",NA,NA,2026-05-14,2026-05-20,"$","Dividendo",640.143235,NA,NA,NA,NA,640.143235,"boletin",NA
"Alza Deuda Privada VI Fondo de Inversión","I",NA,NA,2026-05-14,2026-05-20,"$","Dividendo",640.439758,NA,NA,NA,NA,640.439758,"boletin",NA
"Alza Deuda Privada VI Fondo de Inversión","A",NA,NA,2026-06-05,2026-06-11,"$","Dividendo",923.474391,NA,NA,NA,NA,923.474391,"boletin",NA
"Alza Deuda Privada VI Fondo de Inversión","I",NA,NA,2026-06-05,2026-06-11,"$","Dividendo",923.902157,NA,NA,NA,NA,923.902157,"boletin",NA
"Alza Dédalo Fondo de Inversión","A",NA,NA,2026-06-19,2026-06-25,"$","Dividendo",305.806585,NA,NA,NA,NA,305.806585,"boletin",NA
"Alza Dédalo Fondo de Inversión","I1",NA,NA,2026-06-19,2026-06-25,"$","Dividendo",307.720236,NA,NA,NA,NA,307.720236,"boletin",NA
"Alza Dédalo Fondo de Inversión","F",NA,NA,2026-06-19,2026-06-25,"$","Dividendo",304.98705,NA,NA,NA,NA,304.98705,"boletin",NA
"Alza Fintech X Fondo de Inversión","A","10413","FINRE",2026-06-19,2026-06-25,"$","Dividendo",10.67259,NA,NA,NA,NA,10.67259,"boletin",NA
"Alza Fintech X Fondo de Inversión","B","10413","FINRE",2026-06-19,2026-06-25,"$","Dividendo",2.908312,NA,NA,NA,NA,2.908312,"boletin",NA
"Ameris AATech Financiamiento Corto Plazo Fondo de Inversión","A (ex SLPA)","9919","FIRES",2026-04-23,2026-04-29,"$","Dividendo",14.368593,NA,NA,NA,NA,14.368593033,"boletin",NA
"Ameris AATech Financiamiento Corto Plazo Fondo de Inversión","I (ex SLPI)","9919","FIRES",2026-04-23,2026-04-29,"$","Dividendo",5.037708,NA,NA,NA,NA,5.037708042,"boletin",NA
"Ameris AATech Financiamiento Corto Plazo Fondo de Inversión","X (ex SLPX)","9919","FIRES",2026-04-23,2026-04-29,"$","Dividendo",24.834826,NA,NA,NA,NA,24.834826284,"boletin",NA
"Ameris AATech Financiamiento Corto Plazo Fondo de Inversión","AATech","9919","FIRES",2026-04-23,2026-04-29,"$","Dividendo",85.671943,NA,NA,NA,NA,85.671943224,"boletin",NA
"Ameris Alternativos I Fondo de Inversión","A",NA,NA,2025-04-15,2025-04-23,"US$","Dividendo",0.021516,NA,NA,NA,NA,0.021516498,"boletin",NA
"Ameris Alternativos I Fondo de Inversión","F",NA,NA,2025-04-15,2025-04-23,"US$","Dividendo",0.022439,NA,NA,NA,NA,0.022438655,"boletin",NA
"Ameris Alternativos I Fondo de Inversión","H",NA,NA,2025-04-15,2025-04-23,"US$","Dividendo",0.022578,NA,NA,NA,NA,0.022577629,"boletin",NA
"Ameris Alternativos I Fondo de Inversión","A",NA,NA,2026-05-19,2026-05-26,"US$","Dividendo",0.019016,NA,NA,NA,NA,0.019015694,"boletin",NA
"Ameris Alternativos I Fondo de Inversión","F",NA,NA,2026-05-19,2026-05-26,"US$","Dividendo",0.020022,NA,NA,NA,NA,0.020021797,"boletin",NA
"Ameris Alternativos I Fondo de Inversión","H",NA,NA,2026-05-19,2026-05-26,"US$","Dividendo",0.020177,NA,NA,NA,NA,0.020176541,"boletin",NA
"Ameris Alternativos II Fondo de Inversión","A",NA,NA,2026-05-22,2026-05-28,"US$","Dividendo",0.003851,NA,NA,NA,NA,0.003850899,"boletin",NA
"Ameris Alternativos II Fondo de Inversión","I",NA,NA,2026-05-22,2026-05-28,"US$","Dividendo",0.004069,NA,NA,NA,NA,0.004069389,"boletin",NA
"Ameris Alternativos II Fondo de Inversión","C",NA,NA,2026-05-22,2026-05-28,"US$","Dividendo",0.003898,NA,NA,NA,NA,0.003898223,"boletin",NA
"Ameris CESL II Fondo de Inversión","A","9744","FINRE",2025-03-25,2025-03-31,"US$","Dividendo",0.013397,NA,NA,NA,NA,0.013397438,"boletin",NA
"Ameris CESL II Fondo de Inversión","B","9744","FINRE",2025-03-25,2025-03-31,"US$","Dividendo",0.013553,NA,NA,NA,NA,0.0135527,"boletin",NA
"Ameris CESL II Fondo de Inversión","C","9744","FINRE",2025-03-25,2025-03-31,"US$","Dividendo",0.014123,NA,NA,NA,NA,0.014122715,"boletin",NA
"Ameris CESL II Fondo de Inversión","I","9744","FINRE",2025-03-25,2025-03-31,"US$","Dividendo",0.014178,NA,NA,NA,NA,0.014178015,"boletin",NA
"Ameris CESL II Fondo de Inversión","A","9744","FINRE",2025-03-25,2025-03-31,"US$","Reparto",0.029104,NA,NA,NA,NA,0.029104311,"boletin",NA
"Ameris CESL II Fondo de Inversión","B","9744","FINRE",2025-03-25,2025-03-31,"US$","Reparto",0.029442,NA,NA,NA,NA,0.0294416,"boletin",NA
"Ameris CESL II Fondo de Inversión","C","9744","FINRE",2025-03-25,2025-03-31,"US$","Reparto",0.03068,NA,NA,NA,NA,0.030679888,"boletin",NA
"Ameris CESL II Fondo de Inversión","I","9744","FINRE",2025-03-25,2025-03-31,"US$","Reparto",0.0308,NA,NA,NA,NA,0.03080002,"boletin",NA
"Ameris CESL II Fondo de Inversión","A","9744","FINRE",2025-07-29,2025-08-04,"US$","Dividendo",0.011318,NA,NA,NA,NA,0.011317811,"boletin",NA
"Ameris CESL II Fondo de Inversión","B","9744","FINRE",2025-07-29,2025-08-04,"US$","Dividendo",0.011458,NA,NA,NA,NA,0.011457701,"boletin",NA
