"orden","hoja","titulo","nombre_script","nombre_excel","es_manual","run","serie","row","tipoentidad","ticker_sebra","rent2024","rent2025","duracion","liquidez","moneda","tac"
"1","De la Casa","De la Casa","FI Albion","FI Albion","FALSE","10757","A","AABbsrAAjAAAAFyAAF","FINRE","CFIALBIONA","","3,39%","0","48 hrs","CLP",""
"2","De la Casa","De la Casa","__MANUAL__","Amc Biotech","TRUE","","","","","","","138,80%","","","USD",""
"3","Renta Fija CP","Renta Fija Corto Plazo","MBI Deuda Total (B)","MBI Deuda Total (B)","FALSE","9202","B","AAAw+cAAhAABP4OAAk","FIRES","CFIMBIDT-B","11,48%","7,68%","3","48 hrs","CLP","0,95%"
"4","Renta Fija CP","Renta Fija Corto Plazo","FFMM LV ahorro capital (F)","FFMM LV ahorro capital (F)","FALSE","8263","F","AABbsrAAjAAAACfAA1","RGFMU","","8,82%","5,75%","2,9","24 hrs","CLP","1,10%"
"5","Renta Fija CP","Renta Fija Corto Plazo","Fynsa deuda chile","Fynsa deuda chile","FALSE","9559","B","AAAw%20cAAhAABP4RAA3","FIRES","CFIFYNSADA","9,03%","6,00%","2","t + 11","CLP","0,70%"
"6","Renta Fija CP","Renta Fija Corto Plazo","FFMM BTG renta local A","FFMM BTG renta local","FALSE","8897","A","AABbsrAAjAAAAFzAAl","RGFMU","","9,47%","5,31%","2,7","24 hrs","CLP","0,50%"
"7","Renta Fija MP","Renta Fija Mediano plazo","MBI DEUDA CORPORATIVA A","MBI Deuda corporativa A","FALSE","10162","A","AAAw%20cAAhAABQKEAAm","FIRES","CFIMBDCAPV","8,94%","8,29%","4,5","48 hrs","CLP","0,75%"
"8","Renta Fija MP","Renta Fija Mediano plazo","FFMM LV ahorro corporativo (F)","FFMM LV ahorro corporativo (F)","FALSE","8315","F","AAAw+cAAhAAAACbAAt","RGFMU","","8,97%","6,84%","4,3","24 hrs","CLP","1,10%"
"9","Renta Fija MP","Renta Fija Mediano plazo","MONEDA DEUDA CHILE A","Moneda deuda chile (A)","FALSE","9212","A","AAAw+cAAhAABP4PAAi","FIRES","CFIMDCHA","9,60%","8,80%","4,4","t + 11","CLP","0,71%"
"10","Renta Fija MP","Renta Fija Mediano plazo","LV Deuda chile (A)","LV Deuda chile (A)","FALSE","7210","A","AAAw+cAAhAABP4IAAe","FIRES","CFILVCOR-A","9,66%","8,27%","4,2","t +10","CLP","1,25%"
"11","Renta Fija MP","Renta Fija Mediano plazo","BTG deuda activa plus A","BTG deuda activa plus A","FALSE","9358","A","AABbsrAAjAAAAF9AAs","FIRES","CFIBTGDAPA","16,60%","7,08%","4","t+10","CLP","1,19%"
"12","Renta Fija MP","Renta Fija Mediano plazo","BTG deuda corporativa A","BTG deuda corporativa A","FALSE","7184","A","AAAw%20cAAhAABP4CAA6","FIRES","CFIBPDCCHA","13,03%","8,49%","4,7","t +10","CLP","0,70%"
"13","Renta Fija MP","Renta Fija Mediano plazo","Falcom Chilean Fixed Income A","Falcom Chilean Fixed Income A","FALSE","9289","A","AAAw+cAAhAABP4NAAv","FIRES","CFIFALCFIA","10,09%","9,34%","4,1","T+10","CLP","0,975%"
"14","Renta Fija Internacional","Renta Fija Internacional","Quest renta global hedge","Quest renta global hedge","FALSE","9336","UNICA","AAAw%20cAAhAABP4NAA9","FIRES","CFIQRGH","8,19%","9,97%","5,7","50 dias corr","CLP","0,90%"
"15","Renta Fija Internacional","Renta Fija Internacional","Quest renta global A","Quest renta global A","FALSE","9274","A","AAAw%20cAAhAABP4NAAs","FIRES","CFIQRGA-E","6,72%","10,20%","5,9","50 dias corr","USD","0,90%"
"16","Renta Fija Internacional","Renta Fija Internacional","FFMM BTG renta latam high yield","FFMM BTG renta latam high yield","FALSE","8207","A","AAAw%20cAAhAAAACfAAL","RGFMU","","8,69%","4,46%","6","6 dias","USD","2,38%"
"17","Renta Fija Internacional","Renta Fija Internacional","Mbi global fixed income","Mbi global fixed income","FALSE","9950","A","AAAw+cAAhAABQKAAAM","FIRES","CFI-MBIGFA","4,52%","8,49%","4,5","11-179 dias","USD","1,18%"
"18","Renta Fija Internacional","Renta Fija Internacional","Moneda deuda latam R","Moneda deuda latam (R)","FALSE","7055","R","AABbsrAAjAAAAFyAAF","FINRE","CFI-MDLATR","15,30%","10,60%","3,8","4 veces al ano","USD","1,64%"
"19","Retorno total","Retorno total","MBI deuda plus A","MBI deuda plus A","FALSE","9077","A","AAAw+cAAhAABP4JAAW","FIRES","CFIMBIRF-A","12,34%","10,92%","5,3","48 hrs","CLP","1,84%"
"20","Retorno total","Retorno total","MBI RF plus dolar U","MBI RF plus dolar U","FALSE","9091","U","AAAw%20cAAhAABP4KAAG","FIRES","CFI-MBRFUS","10,95%","10,86%","5,2","48 hrs","USD","1,00%"
"21","Retorno total","Retorno total","Moneda renta clp R","Moneda renta clp R","FALSE","7099","R","","FINRE","CFIMRCLPR","15,00%","10,60%","3,1","4 veces al ano","CLP","1,55%"
"22","Renta Variable local","Renta Variable local","LV Enfoque F","LV Enfoque F","FALSE","8723","F","AAAw%20cAAhAABPt9AAE","RGFMU","","6,09%","68,31%","","t + 7","CLP","1,80%"
"23","Renta Variable local","Renta Variable local","LV Enfoque R","LV Enfoque R","FALSE","8723","R","AAAw%20cAAhAABPt9AAE","RGFMU","CFMLVENFR","","28,74%(1/2 año)","","t + 7","CLP","1,80%"
"24","Renta Variable local","Renta Variable local","Toesca chile equities","Toesca chile equities","FALSE","9414","B","AABbsrAAjAAAAF7AA2","RGFMU","CFMTOEEQUB","6,50%","60,97%","","t + 2","CLP","1,79%"
"25","Renta Variable local","Renta Variable local","Conviccion mbi","Conviccion mbi","FALSE","10381","A","AAAw+cAAhAABQKDAA6","FIRES","CFIMBICL-A","9,55%","37,25%","","t+11","CLP","solo perf fee"
"26","Renta Variable local","Renta Variable local","Fynsa retorno total","Fynsa retorno total","FALSE","9820","A","AAAw%20cAAhAABP4WAAs","FIRES","CFIFYNTORA","-1,11%","63,47%","","t+11","CLP","0,36%"
"27","Renta Variable local","Renta Variable local","Moneda pionero A","Moneda pionero A","FALSE","7010","A","AABbsrAAjAAAAFxAAZ","FINRE","CFIPIONERO","11,00%","68,60%","","ult dia mes","CLP","1,08%"
"28","Renta Variable local","Renta Variable local","FM BTG Chile Acción F","FM BTG Chile Acción F","FALSE","8898","F","AAAw%20cAAhAABP4EAAH","RGFMU","","12,66%","61,53%","","T+10","CLP","1,19%"
"29","Renta Variable local","Renta Variable local","Falcom Tactical Chilean Equities","Falcom Tactical Chilean Equities","FALSE","9194","UNICA","AABbsrAAjAAAAF8AAV","FIRES","CFIFALCTAC","1,96%","68,07%","","t+11","CLP","1,79%"
"30","Alternativos CLP","Alternativos CLP","Mbi deuda alternativa A","Mbi deuda alternativa A","FALSE","9203","A","ABbsrAAjAAAAF6AAO","FIRES","CFIMBIDA-A","9,45%","6,61%","","t+11","CLP","1,13%"
"31","Alternativos CLP","Alternativos CLP","BTG liquidez alternativa","BTG liquidez alternativa","FALSE","10145","A","AAAw%20cAAhAABQKBAAe","FIRES","CFIBTGPLAA","9,77%","8,16%","","10 dias","CLP","1,00%"
"32","Alternativos CLP","Alternativos CLP","BTG deuda estrategica A","BTG deuda estrategica A","FALSE","10641","A","AAAw%20cAAhAABQK7AA","FINRE","CFIBTGDEA","0,00%","8,62%","","45 dias","CLP","1,40%"
