"nombre","run","serie","tipoentidad","row","categoria","instrumento"
"AINA FONDO DE INVERSION","9278","UNICA","FINRE","AAAw+cAAhAABP4MAAz","Alternativos","CFI"
"ALZA FINTECH X FONDO DE INVERSION","10413","A","FINRE","AAAw+cAAhAABQK+AAD","Sin clasificacion","CFI"
"ALZA FINTECH X FONDO DE INVERSION","10413","B","FINRE","AAAw+cAAhAABQK+AAD","Sin clasificacion","CFI"
"AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN","9919","A","FIRES","AAAw+cAAhAABQKBAAC","Sin clasificacion","CFI"
"AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN","9919","AATECH","FIRES","AAAw+cAAhAABQKBAAC","Sin clasificacion","CFI"
"AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN","9919","I","FIRES","AAAw+cAAhAABQKBAAC","Sin clasificacion","CFI"
"AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN","9919","X","FIRES","AAAw+cAAhAABQKBAAC","Sin clasificacion","CFI"
"AMERIS CESL II FONDO DE INVERSIÓN","9744","A","FINRE","AAAw+cAAhAABP4UAAn","Sin clasificacion","CFI"
"AMERIS CESL II FONDO DE INVERSIÓN","9744","B","FINRE","AAAw+cAAhAABP4UAAn","Sin clasificacion","CFI"
"AMERIS CESL II FONDO DE INVERSIÓN","9744","C","FINRE","AAAw+cAAhAABP4UAAn","Sin clasificacion","CFI"
"AMERIS CESL II FONDO DE INVERSIÓN","9744","I","FINRE","AAAw+cAAhAABP4UAAn","Sin clasificacion","CFI"
"AMERIS CESL III FONDO DE INVERSIÓN","10699","A","FINRE","AAAw+cAAhAABQK5AAx","Sin clasificacion","CFI"
"AMERIS CESL III FONDO DE INVERSIÓN","10699","B","FINRE","AAAw+cAAhAABQK5AAx","Sin clasificacion","CFI"
"AMERIS CESL III FONDO DE INVERSIÓN","10699","C","FINRE","AAAw+cAAhAABQK5AAx","Sin clasificacion","CFI"
"AMERIS DEUDA CHILE FONDO DE INVERSION","9383","A","FIRES","AAAw+cAAhAABP4PAAC","Renta Fija - > 365 dias","CFI"
"AMERIS DEUDA CHILE FONDO DE INVERSION","9383","X","FIRES","AAAw+cAAhAABP4PAAC","Renta Fija - > 365 dias","CFI"
"AMERIS DEUDA DIRECTA DÓLAR FONDO DE INVERSIÓN","10627","A","FINRE","AAAw+cAAhAABQK8AAk","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA DÓLAR FONDO DE INVERSIÓN","10627","F","FINRE","AAAw+cAAhAABQK8AAk","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA DÓLAR FONDO DE INVERSIÓN","10627","X","FINRE","AAAw+cAAhAABQK8AAk","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA DÓLAR HEDGE CLP FONDO DE INVERSIÓN","10730","A","FINRE","AAAw+cAAhAABQK7AAy","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA DÓLAR HEDGE CLP FONDO DE INVERSIÓN","10730","X","FINRE","AAAw+cAAhAABQK7AAy","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA FONDO DE INVERSION","9495","A","FINRE","AAAw+cAAhAABP4NAAU","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA FONDO DE INVERSION","9495","C","FINRE","AAAw+cAAhAABP4NAAU","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA FONDO DE INVERSION","9495","I","FINRE","AAAw+cAAhAABP4NAAU","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA FONDO DE INVERSION","9495","R","FINRE","AAAw+cAAhAABP4NAAU","Sin clasificacion","CFI"
"AMERIS DEUDA DIRECTA FONDO DE INVERSION","9495","X","FINRE","AAAw+cAAhAABP4NAAU","Sin clasificacion","CFI"
"AMERIS DEUDA LATINOAMERICANA SOSTENIBLE FONDO DE INVERSIÓN","10192","A","FINRE","AAAw+cAAhAABQKCAAq","Sin clasificacion","CFI"
"AMERIS DEUDA LATINOAMERICANA SOSTENIBLE FONDO DE INVERSIÓN","10192","I","FINRE","AAAw+cAAhAABQKCAAq","Sin clasificacion","CFI"
"AMERIS DEUDA LATINOAMERICANA SOSTENIBLE FONDO DE INVERSIÓN","10192","X","FINRE","AAAw+cAAhAABQKCAAq","Sin clasificacion","CFI"
"AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN","10643","ND","FINRE","AAAw+cAAhAABQK6AAh","Sin clasificacion","CFI"
"AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN","10643","NI","FINRE","AAAw+cAAhAABQK6AAh","Sin clasificacion","CFI"
"AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN","10643","NX","FINRE","AAAw+cAAhAABQK6AAh","Sin clasificacion","CFI"
"AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN","10643","PA","FINRE","AAAw+cAAhAABQK6AAh","Sin clasificacion","CFI"
"AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN","10643","PD","FINRE","AAAw+cAAhAABQK6AAh","Sin clasificacion","CFI"
"AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN","10643","PI","FINRE","AAAw+cAAhAABQK6AAh","Sin clasificacion","CFI"
"AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN","10643","PX","FINRE","AAAw+cAAhAABQK6AAh","Sin clasificacion","CFI"
"AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN","10643","S","FINRE","AAAw+cAAhAABQK6AAh","Sin clasificacion","CFI"
"AMERIS DOVER STREET XI FONDO DE INVERSIÓN","10565","A","FINRE","AAAw+cAAhAABQK7AAa","Sin clasificacion","CFI"
"AMERIS DOVER STREET XI FONDO DE INVERSIÓN","10565","B","FINRE","AAAw+cAAhAABQK7AAa","Sin clasificacion","CFI"
"AMERIS DOVER STREET XI FONDO DE INVERSIÓN","10565","I","FINRE","AAAw+cAAhAABQK7AAa","Sin clasificacion","CFI"
"AMERIS ELECTROMOVILIDAD FONDO DE INVERSIÓN","10514","A","FINRE","AAAw+cAAhAABQK5AAW","Sin clasificacion","CFI"
"AMERIS ELECTROMOVILIDAD FONDO DE INVERSIÓN","10514","D","FINRE","AAAw+cAAhAABQK5AAW","Sin clasificacion","CFI"
"AMERIS FINANCIAMIENTO COLATERALIZADO I FONDO DE INVERSIÓN","10025","A","FINRE","AAAw+cAAhAABQKBAAO","Sin clasificacion","CFI"
"AMERIS FINANCIAMIENTO COLATERALIZADO I FONDO DE INVERSIÓN","10025","B","FINRE","AAAw+cAAhAABQKBAAO","Sin clasificacion","CFI"
"AMERIS FINANCIAMIENTO COLATERALIZADO I FONDO DE INVERSIÓN","10025","X","FINRE","AAAw+cAAhAABQKBAAO","Sin clasificacion","CFI"
"AMERIS FINANCIAMIENTO PARA ACCESO A LA VIVIENDA FONDO DE INVERSIÓN","9827","C","FINRE","AAAw+cAAhAABP4XAA6","Sin clasificacion","CFI"
"AMERIS FINANCIAMIENTO PARA ACCESO A LA VIVIENDA FONDO DE INVERSIÓN","9827","I","FINRE","AAAw+cAAhAABP4XAA6","Sin clasificacion","CFI"
"AMERIS FINANCIAMIENTO PARA ACCESO A LA VIVIENDA II FONDO DE INVERSIÓN.","10626","A","FINRE","AAAw+cAAhAABQK6AAd","Sin clasificacion","CFI"
"AMERIS FINANCIAMIENTO PARA ACCESO A LA VIVIENDA II FONDO DE INVERSIÓN.","10626","I","FINRE","AAAw+cAAhAABQK6AAd","Sin clasificacion","CFI"
"AMERIS HARBOURVEST CO-INVESTMENT VII FONDO DE INVERSIÓN","10806","B","FINRE","AAAw+cAAhAABQK6AA2","Sin clasificacion","CFI"
"AMERIS HARBOURVEST CO-INVESTMENT VII FONDO DE INVERSIÓN","10806","C","FINRE","AAAw+cAAhAABQK6AA2","Sin clasificacion","CFI"
"AMERIS HARBOURVEST CO-INVESTMENT VII FONDO DE INVERSIÓN","10806","I","FINRE","AAAw+cAAhAABQK6AA2","Sin clasificacion","CFI"
"AMERIS LEASING HABITACIONAL FONDO DE INVERSIÓN.","10692","A","FINRE","AAAw+cAAhAABQK9AAp","Sin clasificacion","CFI"
"AMERIS LEASING HABITACIONAL FONDO DE INVERSIÓN.","10692","I","FINRE","AAAw+cAAhAABQK9AAp","Sin clasificacion","CFI"
"AMERIS LGT CCO II FONDO DE INVERSIÓN","9702","A","FINRE","AAAw+cAAhAABP4TAAY","Sin clasificacion","CFI"
"AMERIS LGT CCO II FONDO DE INVERSIÓN","9702","B","FINRE","AAAw+cAAhAABP4TAAY","Sin clasificacion","CFI"
